Overriding config with config.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out_movies'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'movies'

dataset = 'movies'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_interval = 50
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 500
Overriding: lr_decay_iters = 500
Overriding: dropout = 0.0
tokens per iteration will be: 768
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 7.23M
num decayed parameter tensors: 18, with 7,233,536 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
iter 407: loss 5.3766, time 277.19ms, mfu 0.04%
iter 408: loss 5.3754, time 265.67ms, mfu 0.04%
iter 409: loss 4.9385, time 283.88ms, mfu 0.04%
iter 410: loss 4.9847, time 267.07ms, mfu 0.04%
iter 411: loss 5.5434, time 282.82ms, mfu 0.04%
iter 412: loss 5.4975, time 265.27ms, mfu 0.04%
iter 413: loss 5.4132, time 291.13ms, mfu 0.04%
iter 414: loss 4.9467, time 262.63ms, mfu 0.04%
iter 415: loss 5.4619, time 281.00ms, mfu 0.04%
iter 416: loss 5.3421, time 261.55ms, mfu 0.04%
iter 417: loss 5.8817, time 264.72ms, mfu 0.04%
iter 418: loss 5.4230, time 318.12ms, mfu 0.04%
iter 419: loss 5.0545, time 303.72ms, mfu 0.04%
iter 420: loss 5.2803, time 363.89ms, mfu 0.04%
iter 421: loss 5.2516, time 337.90ms, mfu 0.04%
iter 422: loss 5.2973, time 282.01ms, mfu 0.04%
iter 423: loss 5.5625, time 291.41ms, mfu 0.04%
iter 424: loss 5.3592, time 288.31ms, mfu 0.04%
iter 425: loss 5.2810, time 300.99ms, mfu 0.04%
iter 426: loss 5.1536, time 263.94ms, mfu 0.04%
iter 427: loss 5.0208, time 292.63ms, mfu 0.04%
iter 428: loss 5.4653, time 261.40ms, mfu 0.04%
iter 429: loss 5.4098, time 265.21ms, mfu 0.04%
iter 430: loss 5.2199, time 258.90ms, mfu 0.04%
iter 431: loss 5.1413, time 267.84ms, mfu 0.04%
iter 432: loss 5.4336, time 264.78ms, mfu 0.04%
iter 433: loss 5.2697, time 269.77ms, mfu 0.04%
iter 434: loss 5.2790, time 263.91ms, mfu 0.04%
iter 435: loss 5.0855, time 273.68ms, mfu 0.04%
iter 436: loss 5.2285, time 262.04ms, mfu 0.04%
iter 437: loss 5.2513, time 249.81ms, mfu 0.04%
iter 438: loss 5.6414, time 269.93ms, mfu 0.04%
iter 439: loss 5.6144, time 262.16ms, mfu 0.04%
iter 440: loss 5.2715, time 261.05ms, mfu 0.04%
iter 441: loss 5.2422, time 258.87ms, mfu 0.04%
iter 442: loss 5.0594, time 266.39ms, mfu 0.04%
iter 443: loss 5.9566, time 269.85ms, mfu 0.04%
iter 444: loss 5.4509, time 258.84ms, mfu 0.04%
iter 445: loss 5.2233, time 279.61ms, mfu 0.04%
iter 446: loss 5.1851, time 270.81ms, mfu 0.04%
iter 447: loss 5.4407, time 277.80ms, mfu 0.04%
iter 448: loss 5.0618, time 274.80ms, mfu 0.04%
iter 449: loss 5.2055, time 266.59ms, mfu 0.04%
step 450: train loss 5.3605, val loss 5.3685
iter 450: loss 5.1233, time 2968.83ms, mfu 0.04%
iter 451: loss 5.0546, time 265.96ms, mfu 0.04%
iter 452: loss 5.3045, time 275.16ms, mfu 0.04%
iter 453: loss 5.3006, time 272.05ms, mfu 0.04%
iter 454: loss 5.1158, time 272.96ms, mfu 0.04%
iter 455: loss 5.4765, time 258.69ms, mfu 0.04%
iter 456: loss 5.5932, time 272.20ms, mfu 0.04%
iter 457: loss 5.4379, time 264.23ms, mfu 0.04%
iter 458: loss 4.9811, time 285.90ms, mfu 0.04%
iter 459: loss 5.2804, time 258.99ms, mfu 0.04%
iter 460: loss 5.2411, time 279.25ms, mfu 0.04%
iter 461: loss 5.3317, time 291.61ms, mfu 0.04%
iter 462: loss 5.2302, time 260.00ms, mfu 0.04%
iter 463: loss 5.0941, time 278.35ms, mfu 0.04%
iter 464: loss 5.6044, time 274.21ms, mfu 0.04%
iter 465: loss 5.1866, time 302.62ms, mfu 0.04%
iter 466: loss 5.2286, time 269.68ms, mfu 0.04%
iter 467: loss 5.0416, time 277.96ms, mfu 0.04%
iter 468: loss 5.3411, time 259.19ms, mfu 0.04%
iter 469: loss 5.7223, time 280.13ms, mfu 0.04%
iter 470: loss 5.4489, time 277.05ms, mfu 0.04%
iter 471: loss 5.1425, time 271.59ms, mfu 0.04%
iter 472: loss 5.4049, time 267.33ms, mfu 0.04%
iter 473: loss 5.1023, time 275.35ms, mfu 0.04%
iter 474: loss 4.7295, time 274.19ms, mfu 0.04%
iter 475: loss 5.3641, time 272.43ms, mfu 0.04%
iter 476: loss 5.3134, time 284.09ms, mfu 0.04%
iter 477: loss 5.4957, time 276.65ms, mfu 0.04%
iter 478: loss 5.3076, time 269.35ms, mfu 0.04%
iter 479: loss 5.1277, time 277.01ms, mfu 0.04%
iter 480: loss 5.4562, time 291.80ms, mfu 0.04%
iter 481: loss 5.3084, time 267.05ms, mfu 0.04%
iter 482: loss 5.0269, time 292.25ms, mfu 0.04%
iter 483: loss 5.4806, time 271.88ms, mfu 0.04%
iter 484: loss 5.1939, time 293.06ms, mfu 0.04%
iter 485: loss 5.3303, time 254.56ms, mfu 0.04%
iter 486: loss 5.3412, time 293.00ms, mfu 0.04%
iter 487: loss 5.3404, time 286.38ms, mfu 0.04%
iter 488: loss 5.1921, time 288.89ms, mfu 0.04%
iter 489: loss 5.2019, time 276.21ms, mfu 0.04%
iter 490: loss 5.6375, time 284.49ms, mfu 0.04%
iter 491: loss 5.3563, time 263.04ms, mfu 0.04%
iter 492: loss 5.2211, time 270.53ms, mfu 0.04%
iter 493: loss 5.4645, time 268.01ms, mfu 0.04%
iter 494: loss 5.2481, time 269.28ms, mfu 0.04%
iter 495: loss 5.5722, time 270.24ms, mfu 0.04%
iter 496: loss 5.6794, time 250.18ms, mfu 0.04%
iter 497: loss 4.9548, time 261.02ms, mfu 0.04%
iter 498: loss 5.1762, time 266.06ms, mfu 0.04%
iter 499: loss 5.2300, time 271.12ms, mfu 0.04%
step 500: train loss 5.3117, val loss 5.3053
saving checkpoint to out_movies
iter 500: loss 5.0565, time 3053.81ms, mfu 0.04%
